evidence_id,priority,destination,figure_or_table,main_or_supplement,reason
ORIG_MIMIC_365D_PH_DIAGNOSTIC,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
ORIG_MIMIC_ABSOLUTE_RISK_30D,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_GV_LAB_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_GV_MEAN_DIFFERENCE,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
P2A_AGREEMENT_PRIMARY_GV_PAIR_MEAN_CORRELATION,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_GV_PEARSON,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
P2A_AGREEMENT_PRIMARY_GV_POCT_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_GV_SPEARMAN,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_LAB_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_MEAN_DIFFERENCE,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_PAIR_MEAN_CORRELATION,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_PEARSON,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_POCT_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_SPEARMAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_GV_LAB_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_GV_MEAN_DIFFERENCE,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_GV_PAIR_MEAN_CORRELATION,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_GV_PEARSON,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_GV_POCT_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_GV_SPEARMAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_LAB_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_MEAN_DIFFERENCE,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_PAIR_MEAN_CORRELATION,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_PEARSON,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_POCT_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_SPEARMAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_BOOTSTRAP_COEFFICIENT_RATIO,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
P2A_BOOTSTRAP_MEDIAN_DELTA_BETA,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_BOOTSTRAP_OBSERVED_DELTA_BETA,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
P2A_SAMPLING_eICU_CRD_mean_glucose,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SAMPLING_eICU_CRD_measurement_count,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SAMPLING_eICU_CRD_measurement_span_hours,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SAMPLING_INSPIRE_NA,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SAMPLING_MIMIC_IV_mean_glucose,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SAMPLING_MIMIC_IV_measurement_count,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SAMPLING_MIMIC_IV_measurement_span_hours,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_eICU_CRD_M3_M4_AFTER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_eICU_CRD_M3_M4_BEFORE,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_eICU_CRD_M3_M4_DELTA_LOG,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_INSPIRE_I2_I3_AFTER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_INSPIRE_I2_I3_BEFORE,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_INSPIRE_I2_I3_DELTA_LOG,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_MIMIC_IV_Model_B_Model_C_AFTER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_MIMIC_IV_Model_B_Model_C_BEFORE,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2A_SHIFT_MIMIC_IV_Model_B_Model_C_DELTA_LOG,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_COUNT_PRIMARY_DISTRIBUTION,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_COUNT_PRIMARY_GV_CORRELATION,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_COUNT_PRIMARY_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_COUNT_SENSITIVITY_DISTRIBUTION,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_COUNT_SENSITIVITY_GV_CORRELATION,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_COUNT_SENSITIVITY_MEAN,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_PRIMARY_GEOMETRIC_MEAN_RATIO,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
P2B_LOG_PRIMARY_LOG_LOA_LOWER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_PRIMARY_LOG_LOA_UPPER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_PRIMARY_MEAN_LOG_RATIO,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_PRIMARY_MEDIAN_LOG_RATIO,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_PRIMARY_PAIR_MEAN_PEARSON,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_PRIMARY_RATIO_LOA_LOWER,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
P2B_LOG_PRIMARY_RATIO_LOA_UPPER,1,Results; revised central evidence,Candidate Figure 2 or main Results table,main,Directly supports the revised measurement-context framing or provides the locked context-family display.
P2B_LOG_PRIMARY_VALID_N,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_GEOMETRIC_MEAN_RATIO,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_LOG_LOA_LOWER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_LOG_LOA_UPPER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_MEAN_LOG_RATIO,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_MEDIAN_LOG_RATIO,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_PAIR_MEAN_PEARSON,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_RATIO_LOA_LOWER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_RATIO_LOA_UPPER,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_LOG_SENSITIVITY_VALID_N,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_SPAN_PRIMARY_NOT_ESTIMABLE,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
P2B_SPAN_SENSITIVITY_NOT_ESTIMABLE,2,Supplementary Results / evidence tables,Supplementary evidence table / audit,supplement,"Retain for transparency, lineage reconciliation, boundary conditions, or sensitivity context; not central to the revised claim."
