output_id,database,cohort,model_id,generating_script,source_result,n,events,key_estimate,document_location,verification_status
Table S1,MIMIC-IV 3.1,day-1 landmark cohort,NA,analyses/09_quality_control/01_assemble_results.py (baseline assembly),analysis_base_bmi_repaired.csv + features_priority.csv,10561,296 / 745,baseline characteristics,AF1 Supplementary Material,MAPPED
Table S2,MIMIC-IV 3.1,cohort flow,NA,sql/mimic/02_build_cohort.sql; analyses/01_cohort_construction/02_build_analysis_dataset.py,03_cohort_flow.csv,12992 -> 10561,NA,cohort flow counts,AF1 Supplementary Material,MAPPED
Table S3,MIMIC-IV 3.1,included vs excluded,NA,analyses/01_cohort_construction/02_build_analysis_dataset.py,included_vs_excluded_comparison.csv,NA,NA,included vs excluded comparison,AF1 Supplementary Material,MAPPED
Table S4,MIMIC-IV 3.1,glucose series,NA,analyses/02_glucose_processing/01_rebuild_glucose_series.py,excluded_glucose_records_audit.csv,NA,NA,cleaning and deduplication audit,AF1 Supplementary Material,MAPPED
Table S5,MIMIC-IV 3.1,day-1 landmark cohort,MICE m=50 config,analyses/03_primary_mimic/03_run_primary_models_mice.R; analyses/09_quality_control/02_missing_data_report.R,missing_proportions.csv; mice_configuration.csv,10561,NA,missingness + final MICE configuration,AF1 Supplementary Material,MAPPED
Table S6,MIMIC-IV 3.1,day-1 landmark cohort,MICE_A/B/C_30d/365d,analyses/03_primary_mimic/03_run_primary_models_mice.R,mice_pooled_models.csv,10561,296 / 745,pooled model sequence (A 1.047 / B 0.979 / C 1.029 at 30d),AF1 Supplementary Material,VERIFIED_RERUN_IDENTICAL
Table S7,MIMIC-IV 3.1,complete-case frame,CC_A/B/C_30d/365d,analyses/03_primary_mimic/03_run_primary_models_mice.R (CC pipeline),cc_models_30d_365d.csv,9751,240 / 633,complete-case sensitivity,AF1 Supplementary Material,VERIFIED_FROZEN_PASS
Table S8,MIMIC-IV 3.1,CC standardization frame,ABSRISK_30d/365d,analyses/03_primary_mimic/04_ph_rcs_absoluterisk.R,12_absolute_risk_results.csv,9751,240 / 633,"30d RD -0.04 pp (-0.28 to +0.15); 365d RD -0.03 pp",AF1 Supplementary Material,VERIFIED_FROZEN_PASS
Table S9,MIMIC-IV 3.1,CC + MICE frames,PH Model B 365d,analyses/03_primary_mimic/04_ph_rcs_absoluterisk.R,07_ph_diagnostics.csv,9751 / 10561,633 / 745,"GV PH P=0.006; global P=1.35e-15",AF1 Supplementary Material,MAPPED
Table S10,MIMIC-IV 3.1,day-1 landmark cohort,PH365 interval MICE-pooled; GV x log(time),analyses/04_time_dependent/05_mice_pooled_interval_models.R; analyses/04_time_dependent/09_covariate_tt_sensitivity.R,PH365_INTERVAL_MICE_POOLED.csv; PH365_GV_LOGTIME_SENSITIVITY_MICE_POOLED.csv,10561,162 / 139 / 444,"d1-7 1.063 (0.998-1.132); d8-30 0.974 (0.889-1.067); d31-365 0.938 (0.883-0.996); interaction 0.966",AF1 Supplementary Material,VERIFIED_RERUN_IDENTICAL
Table S11,MIMIC-IV 3.1,CC frame,RCS GV 30d/365d,analyses/03_primary_mimic/04_ph_rcs_absoluterisk.R,rcs_gv_nonlinearity.csv; rcs_gv_curve_source.csv,9751,240 / 633,"RCS nonlinearity 30d P=0.136; 365d P=0.010",AF1 Supplementary Material,MAPPED
Table S12,MIMIC-IV 3.1,day-1 landmark cohort,ALT_GV metrics,analyses/03_primary_mimic/05_sensitivity_models.R,06_sensitivity_results.csv,10561,296 / 745,alternative GV metrics,AF1 Supplementary Material,MAPPED
Table S13,MIMIC-IV 3.1,day-1 landmark cohort,robustness specifications,analyses/03_primary_mimic/05_sensitivity_models.R,06_sensitivity_results.csv,10561,296 / 745,robustness and specification dependence,AF1 Supplementary Material,MAPPED
Table S14,MIMIC-IV 3.1,source-restricted series,SRC_*_30d,analyses/05_source_sensitivity/02_fit_source_models.R,measurement_source_results.csv,per-series,per-series,"POCT 0.827 (0.740-0.924); central-lab 0.979 (0.933-1.026); blood-gas 1.057; common-source 0.978",AF1 Supplementary Material,VERIFIED_FROZEN_PASS
Table S15,MIMIC-IV 3.1,source-restricted series,SRC_*_365d,analyses/05_source_sensitivity/02_fit_source_models.R,measurement_source_results.csv,per-series,per-series,source-restricted 365-day estimates,AF1 Supplementary Material,MAPPED
Table S16,MIMIC-IV 3.1,nested HbA1c cohort,NA,analyses/08_shr_component/02_joint_prep.py,shr_gv_exposure_distribution.csv,4779,99 / 303,nested SHR exposure distributions,AF1 Supplementary Material,MAPPED
Table S17,MIMIC-IV 3.1,nested HbA1c cohort,OMNI_J1_vs_J0_30d/365d,analyses/08_shr_component/03_joint_models.R,shr_gv_joint_omnibus_tests.csv,4779,99 / 303,"omnibus F(2)=1.844 P=0.158; F(2)=2.338 P=0.097",AF1 Supplementary Material,VERIFIED_FROZEN_PASS
Table S18,MIMIC-IV 3.1,nested HbA1c cohort,D2_vs_D1_30d/365d,analyses/08_shr_component/03_joint_models.R,shr_gv_component_decomposition.csv,4779,99 / 303,"GV added-information P=0.948 (30d) / 0.476 (365d)",AF1 Supplementary Material,VERIFIED_FROZEN_PASS
Table S19,MIMIC-IV 3.1,nested HbA1c cohort,P0-P5 internal performance,analyses/08_shr_component/04_joint_risk_performance.R,shr_gv_model_performance.csv,4779,99 / 303,internal performance (optimism-corrected),AF1 Supplementary Material,MAPPED
Table S20,MIMIC-IV 3.1,nested HbA1c cohort,paired performance differences,analyses/08_shr_component/04_joint_risk_performance.R,shr_gv_model_performance_pairs.csv,4779,99 / 303,paired bootstrap performance differences,AF1 Supplementary Material,MAPPED
Table S21,INSPIRE 1.4.2,eligible -> 24h landmark frame,ADMINV5 frame,analyses/06_inspire/05_uniform_admin_censoring_v5.R; 02_outcome_time_repairs.R,v5_analysis_manifest.csv; 30d_time_rule_qc_v5.csv,1355 -> 1353,27,INSPIRE analytical frame,AF1 Supplementary Material,VERIFIED_RERUN_IDENTICAL
Table S22,INSPIRE 1.4.2,24h landmark frame,ADMINV5_I1/I2/I3_30d + sensitivities,analyses/06_inspire/05_uniform_admin_censoring_v5.R,30d_primary_results_v5.csv; 30d_sensitivity_joint_results_v5.csv,1353,27,"I2 HR 0.905 (0.653-1.254) P=0.547",AF1 Supplementary Material,VERIFIED_RERUN_IDENTICAL
Table S23,INSPIRE 1.4.2,24h landmark frame,ADMINV5_ABSRISK_I2_30d,analyses/06_inspire/05_uniform_admin_censoring_v5.R,30d_absolute_risk_v5.csv,1353,27,"Q75-vs-Q25 RD -0.33 pp (-1.80 to +1.25)",AF1 Supplementary Material,VERIFIED_RERUN_IDENTICAL
Table S24,INSPIRE 1.4.2,24h + 48h frames,time-rule QC,analyses/06_inspire/05_uniform_admin_censoring_v5.R,30d_time_rule_qc_v5.csv; 365d_withdrawal_v5.csv,NA,NA,time-rule quality checks (13 PASS + attestation),AF1 Supplementary Material,VERIFIED_RERUN_IDENTICAL
Table S25,MIMIC-IV + eICU-CRD 2.0,harmonized frames,HARM_MIMIC_M3/M4; HARM_eICU-CRD_M3/M4; RI logistic,analyses/07_eicu/01_fit_harmonized_models.R (+02-06),10_cross_database_results.csv; eicu_random_intercept_sensitivity.csv,8117 / 7115,128 / 130,"MIMIC M3 1.024 / M4 1.047; eICU M3 1.158 / M4 1.133; RI OR 1.167 (1.036-1.316)",AF1 Supplementary Material,VERIFIED_FROZEN_PASS
Figure S1,MIMIC-IV 3.1,MICE m=50 diagnostics,NA,analyses/09_quality_control/02_missing_data_report.R + analyses/09_quality_control/figure_build/merge_s1_mice_figure.py,mice_m50_object.rds; mice_configuration.csv,10561,NA,MICE convergence and density diagnostics,AF1 Supplementary Material,RERUN_REGENERATED
Figure S2,MIMIC-IV 3.1,day-1 landmark cohort,MICE_A/B/C,analyses/09_quality_control/figure_build/build_supplement_figures.py,specification_curve_table.csv; 04_primary_results.csv; mice_pooled_models.csv,10561,296 / 745,prespecified model sequence,AF1 Supplementary Material,RERUN_REGENERATED
Figure S3,MIMIC-IV 3.1,CC frame,RCS 30d,analyses/03_primary_mimic/04_ph_rcs_absoluterisk.R,rcs_gv_curve_source.csv (horizon=30); rcs_gv_nonlinearity.csv,9751,240,GV spline diagnostic 30d,AF1 Supplementary Material,RERUN_REGENERATED
Figure S4,MIMIC-IV 3.1,CC frame,RCS 365d,analyses/03_primary_mimic/04_ph_rcs_absoluterisk.R,rcs_gv_curve_source.csv (horizon=365); rcs_gv_nonlinearity.csv,9751,633,GV spline diagnostic 365d,AF1 Supplementary Material,RERUN_REGENERATED
Figure S5,MIMIC-IV 3.1,CC + MICE frames,PH + intervals,analyses/09_quality_control/figure_build/build_ph_audit_figure.py,07_ph_diagnostics.csv; PH365_INTERVAL_MICE_POOLED.csv,9751 / 10561,633 / 745,PH and interval audit,AF1 Supplementary Material,RERUN_REGENERATED
Figure S6,MIMIC-IV 3.1,nested HbA1c cohort,NA,analyses/09_quality_control/figure_build/build_supplement_figures.py,analysis_base_bmi_repaired.csv + features_priority.csv; shr_gv_exposure_distribution.csv,4779,99 / 303,nested SHR and GV distributions (P1-P99),AF1 Supplementary Material,RERUN_REGENERATED
Figure S7,INSPIRE 1.4.2,24h landmark frame,ADMINV5_I2_30d,analyses/09_quality_control/figure_build/build_main_figures.py,30d_primary_results_v5.csv,1353,27,INSPIRE model-frame audit,AF1 Supplementary Material,CONTENT_VERIFIED
Figure S8,INSPIRE 1.4.2,eligible frame,NA,analyses/09_quality_control/figure_build/build_main_figures.py,INSPIRE 365-day registry-coverage audit outputs; 365d_withdrawal_v5.csv,1355,NA,365-day analytic boundary (why no common endpoint),AF1 Supplementary Material,CONTENT_VERIFIED
